muestra,condition
20260129_HDMSE_941_089_Control_pool_lagrimas_1_mes_N1,Control_1_mes
20260129_HDMSE_942_089_Control_pool_lagrimas_1_mes_N2,Control_1_mes
20260129_HDMSE_943_089_Control_pool_lagrimas_1_mes_N3,Control_1_mes
20260129_HDMSE_944_089_STZ_pool_lagrimas_1_mes_N1,STZ_1_mes
20260129_HDMSE_945_089_STZ_pool_lagrimas_1_mes_N2,STZ_1_mes
20260129_HDMSE_946_089_STZ_pool_lagrimas_1_mes_N3,STZ_1_mes
20260129_HDMSE_947_089_Control_pool_lagrimas_3_meses_N1,Control_3_meses
20260129_HDMSE_948_089_Control_pool_lagrimas_3_meses_N2,Control_3_meses
20260129_HDMSE_949_089_Control_pool_lagrimas_3_meses_N3,Control_3_meses
20260129_HDMSE_950_089_STZ_pool_lagrimas_3_meses_N1,STZ_3_meses
20260129_HDMSE_951_089_STZ_pool_lagrimas_3_meses_N2,STZ_3_meses
20260129_HDMSE_952_089_STZ_pool_lagrimas_3_meses_N3,STZ_3_meses
