#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0002088	Lens development in camera-type eye	9	11	1.05	0.84	0.0011	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
GO Process	GO:0007601	Visual perception	9	12	1.01	0.81	0.0011	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000030412,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Cryaa,Crygb,Ppt1,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
GO Process	GO:0150063	Visual system development	10	19	0.86	0.7	0.0011	10090.ENSMUSP00000019192,10090.ENSMUSP00000024988,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,C3,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
GO Process	GO:0007600	Sensory perception	10	34	0.61	0.37	0.0325	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000030412,10090.ENSMUSP00000031286,10090.ENSMUSP00000063025,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Cryaa,Crygb,Ppt1,Crybb1,Serpinb6d,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
GO Function	GO:0005212	Structural constituent of eye lens	9	11	1.05	0.94	0.00027	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
STRING clusters	CL:28838	Eye lens protein, and Gap junction-mediated intercellular transport	9	10	1.09	1.03	0.00013	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
STRING clusters	CL:28840	Eye lens protein, and Gap junction-mediated intercellular transport	7	8	1.08	0.92	0.00053	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Crygc,Crybb3,Cryab
STRING clusters	CL:28844	Eye lens protein, and Regulation of catalase activity	5	5	1.14	0.7	0.0073	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryab
STRING clusters	CL:28845	Eye lens protein	4	4	1.14	0.53	0.0333	10090.ENSMUSP00000019192,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000149803	Cryaa,Cryba1,Crybb2,Cryab
TISSUES	BTO:0000723	Lens	8	10	1.04	0.82	0.0012	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
