#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Chil1	Lcn2	10090.ENSMUSP00000080717	10090.ENSMUSP00000053962	0	0	0	0	0.339	0	0	0.613	0.733
Chil1	Pzp	10090.ENSMUSP00000080717	10090.ENSMUSP00000107760	0	0	0	0	0.068	0	0	0.501	0.515
Crnkl1	Hspa8	10090.ENSMUSP00000001818	10090.ENSMUSP00000015800	0	0	0	0	0.045	0.051	0.540	0.060	0.555
Cstdc5	Serpinb6d	10090.ENSMUSP00000093794	10090.ENSMUSP00000063025	0	0	0	0	0.049	0	0.720	0	0.722
Ctsd	Hspa8	10090.ENSMUSP00000121203	10090.ENSMUSP00000015800	0	0	0	0	0.066	0.081	0	0.500	0.533
Ctsd	Hsp90ab1	10090.ENSMUSP00000121203	10090.ENSMUSP00000024739	0	0	0	0	0.061	0.043	0	0.396	0.410
Ctsd	Gfap	10090.ENSMUSP00000121203	10090.ENSMUSP00000064691	0	0	0	0	0.056	0	0	0.402	0.411
Ctsd	Lamp2	10090.ENSMUSP00000121203	10090.ENSMUSP00000074448	0	0	0	0	0.115	0.392	0	0.846	0.910
Ctsd	Ctsl	10090.ENSMUSP00000121203	10090.ENSMUSP00000152169	0	0	0	0	0.179	0.065	0.400	0.801	0.896
Ctsl	Hspa8	10090.ENSMUSP00000152169	10090.ENSMUSP00000015800	0	0	0	0	0.082	0.048	0	0.551	0.574
Ctsl	Lamp2	10090.ENSMUSP00000152169	10090.ENSMUSP00000074448	0	0	0	0	0.159	0	0	0.722	0.757
Ctsl	Ctsd	10090.ENSMUSP00000152169	10090.ENSMUSP00000121203	0	0	0	0	0.179	0.065	0.400	0.801	0.896
Ganab	Hspa8	10090.ENSMUSP00000093965	10090.ENSMUSP00000015800	0	0	0	0	0.155	0.091	0	0.483	0.569
Gfap	Hsp90ab1	10090.ENSMUSP00000064691	10090.ENSMUSP00000024739	0	0	0	0	0.076	0.051	0	0.611	0.629
Gfap	Lcn2	10090.ENSMUSP00000064691	10090.ENSMUSP00000053962	0	0	0	0	0.071	0	0	0.473	0.490
Gfap	Ctsd	10090.ENSMUSP00000064691	10090.ENSMUSP00000121203	0	0	0	0	0.056	0	0	0.402	0.411
Gfap	Myo9b	10090.ENSMUSP00000064691	10090.ENSMUSP00000129220	0	0	0	0	0	0.065	0	0.443	0.457
Gfap	Lamp2	10090.ENSMUSP00000064691	10090.ENSMUSP00000074448	0	0	0	0	0.075	0	0	0.621	0.634
H1f2	Hspa8	10090.ENSMUSP00000045816	10090.ENSMUSP00000015800	0	0	0	0	0	0.054	0	0.428	0.435
H1f2	Hsp90ab1	10090.ENSMUSP00000045816	10090.ENSMUSP00000024739	0	0	0	0	0	0	0	0.464	0.463
Hsp90ab1	Jup	10090.ENSMUSP00000024739	10090.ENSMUSP00000001592	0	0	0	0	0.079	0.097	0	0.432	0.486
Hsp90ab1	Hspa8	10090.ENSMUSP00000024739	10090.ENSMUSP00000015800	0	0.002	0	0	0.908	0.491	0.720	0.997	0.999
Hsp90ab1	Krt8	10090.ENSMUSP00000024739	10090.ENSMUSP00000023952	0	0	0	0	0.047	0.233	0	0.283	0.430
Hsp90ab1	Ctsd	10090.ENSMUSP00000024739	10090.ENSMUSP00000121203	0	0	0	0	0.061	0.043	0	0.396	0.410
Hsp90ab1	H1f2	10090.ENSMUSP00000024739	10090.ENSMUSP00000045816	0	0	0	0	0	0	0	0.464	0.463
Hsp90ab1	Ppib	10090.ENSMUSP00000024739	10090.ENSMUSP00000034947	0	0	0	0	0.160	0.140	0	0.342	0.484
Hsp90ab1	Gfap	10090.ENSMUSP00000024739	10090.ENSMUSP00000064691	0	0	0	0	0.076	0.051	0	0.611	0.629
Hsp90ab1	Lamp2	10090.ENSMUSP00000024739	10090.ENSMUSP00000074448	0	0	0	0	0.046	0	0	0.985	0.985
Hspa8	Crnkl1	10090.ENSMUSP00000015800	10090.ENSMUSP00000001818	0	0	0	0	0.045	0.051	0.540	0.060	0.555
Hspa8	H1f2	10090.ENSMUSP00000015800	10090.ENSMUSP00000045816	0	0	0	0	0	0.054	0	0.428	0.435
Hspa8	Ctsd	10090.ENSMUSP00000015800	10090.ENSMUSP00000121203	0	0	0	0	0.066	0.081	0	0.500	0.533
Hspa8	Ganab	10090.ENSMUSP00000015800	10090.ENSMUSP00000093965	0	0	0	0	0.155	0.091	0	0.483	0.569
Hspa8	Ctsl	10090.ENSMUSP00000015800	10090.ENSMUSP00000152169	0	0	0	0	0.082	0.048	0	0.551	0.574
Hspa8	Krt8	10090.ENSMUSP00000015800	10090.ENSMUSP00000023952	0	0	0	0	0.044	0.284	0	0.515	0.639
Hspa8	Lamp2	10090.ENSMUSP00000015800	10090.ENSMUSP00000074448	0	0	0	0	0.076	0.351	0	0.997	0.998
Hspa8	Hsp90ab1	10090.ENSMUSP00000015800	10090.ENSMUSP00000024739	0	0.002	0	0	0.908	0.491	0.720	0.997	0.999
