#node	identifier	domain_summary_url	annotation	other_names_and_aliases
Ankrd49	10090.ENSMUSP00000151079	Ankyrin repeat domain-containing protein 49; May have a role in spermatogenesis where it promotes autophagy in response to serum starvation, via the NF-kappaB pathway.	https://smart.embl.de/smart/DDvec.cgi?smart=238:ANK(72|102)+ANK(106|135)+ANK(139|168)+ANK(172|203)+	56503,A0A1L1SUI8,AAD04809.1,AAH19777.1,AF028722,AK132850,AK153923,ANR49_MOUSE,AW060934,Ankrd49,Ankrd49-201,Ankrd49-202,Ankrd49-203,Ankrd49-204,Ankrd49-205,Ankrd49-206,Ankyrin repeat domain 49,Ankyrin repeat domain-containing protein 49,BAE21393.1,BAE32257.1,BC019777,C86108,CCDS22826.1,CT030247,ENSMUSG00000031931,ENSMUSP00000034406,ENSMUSP00000149874,ENSMUSP00000150762,ENSMUSP00000151079,ENSMUSP00000152731,ENSMUST00000034406,ENSMUST00000034406.3,ENSMUST00000214456,ENSMUST00000214456.1,ENSMUST00000214882,ENSMUST00000214882.1,ENSMUST00000214979,ENSMUST00000214979.1,ENSMUST00000216037,ENSMUST00000216037.1,ENSMUST00000216372,ENSMUST00000216372.1,Fetal globin-increasing factor,Fetal globin-inducing factor,Fgif,Gbif,MGI:1930842,NM_001348260.1,NM_019683,NM_019683.3,NM_019683.4,NP_001335189,NP_001335189.1,NP_062657,NP_062657.2,Q3U523,Q8VE42,Q9Z2S1,UPI0000023915,UPI00005ACD2F,UPI0008FC1B73,XM_006510503,XM_006510503.2,XM_006510504,XM_006510504.2,XM_006510505,XM_006510505.2,XP_006510566,XP_006510566.1,XP_006510567,XP_006510567.1,XP_006510568,XP_006510568.1,mmu:56503,uc009ofa.1
Car6	10090.ENSMUSP00000030817	Carbonic anhydrase 6; Reversible hydration of carbon dioxide. Its role in saliva is unknown.	https://smart.embl.de/smart/DDvec.cgi?smart=317:SIGNAL(1|17)+Carb_anhydrase(21|277)+	12353,4.2.1.1,AAD12540.1,AF079835,AL606903,B1ARR4,B1ARR5,CA-VI,CAH6_MOUSE,CCDS51386.1,CH466594,Ca6,Car6,Car6-201,Car6-202,Car6-203,Car6-204,Carbonate dehydratase VI,Carbonic anhydrase,Carbonic anhydrase 6,Carbonic anhydrase VI,DOC1,EC 4.2.1.1,EDL14887.1,ENSMUSG00000028972,ENSMUSP00000030817,ENSMUSP00000101308,ENSMUST00000030817,ENSMUST00000030817.4,ENSMUST00000105683,ENSMUST00000105683.8,ENSMUST00000126449,ENSMUST00000126449.1,ENSMUST00000134648,ENSMUST00000134648.7,MGI:1333786,NM_009802,NM_009802.2,NP_033932,NP_033932.2,O88625,P18761,R-MMU-1430728,R-MMU-1475029,Salivary carbonic anhydrase,Secreted carbonic anhydrase,UPI000002306A,UPI0000024617,mmu:12353,uc008vxm.1
Chil1	10090.ENSMUSP00000080717	Chitinase-3-like protein 1; Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activation of AKT1 signaling  [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=389:SIGNAL(1|29)+Glyco_18(30|366)+	12654,5XEP,AAH03780.1,AAH04734.1,AAH05611.1,ABY53363.1,AC137104,AK051475,AK155412,AW208766,B0FEU7,BAC34654.1,BAE33251.1,BC003780,BC004734,BC005611,BRP39 protein,Breast regression protein 39,Brp39,CAA63603.1,CAJ18491.1,CCDS48368.1,CGP-39,CH3L1_MOUSE,CT010283,Cartilage glycoprotein 39,Chi3l1,Chil1,Chil1-201,Chil1-202,Chil1-203,Chil1-204,Chil1-205,Chil1-206,Chil1-207,Chil1-208,Chitinase-3-like protein 1,Chitinase-3-like protein 1/2,Chitinase-like 1,D3YXU4,D3Z2P2,D3Z2Z5,ENSMUSG00000064246,ENSMUSP00000080717,ENSMUSP00000117117,ENSMUSP00000118289,ENSMUSP00000119205,ENSMUSP00000121471,ENSMUST00000082060,ENSMUST00000082060.9,ENSMUST00000132873,ENSMUST00000132873.7,ENSMUST00000133701,ENSMUST00000133701.7,ENSMUST00000134812,ENSMUST00000134812.1,ENSMUST00000139254,ENSMUST00000139254.7,ENSMUST00000144819,ENSMUST00000144819.1,ENSMUST00000153856,ENSMUST00000153856.7,ENSMUST00000156873,ENSMUST00000156873.7,EU313768,GP-39,Gp39,MGI:1340899,NM_007695,NM_007695.3,NP_031721,NP_031721.2,Q3U291,Q4FJW9,Q61362,Q8BKL8,Q99J84,R-MMU-168249,R-MMU-168256,R-MMU-6798695,UPI00000279CD,UPI00000EB56D,UPI000164C5D9,UPI000173A98B,UPI000173A98C,X93035,XM_006529111,XM_006529111.3,XM_006529112,XM_006529112.3,XP_006529174,XP_006529174.1,XP_006529175,XP_006529175.1,mmu:12654,uc007crg.2
Crnkl1	10090.ENSMUSP00000001818	Crooked neck-like protein 1; Involved in pre-mRNA splicing process.	https://smart.embl.de/smart/DDvec.cgi?smart=690:HAT(61|93)+HAT(95|127)+HAT(129|161)+HAT(163|194)+HAT(196|227)+HAT(229|264)+HAT(266|300)+HAT(344|378)+HAT(388|424)+HAT(426|457)+HAT(459|491)+HAT(493|527)+HAT(529|560)+	1200013P10Rik,5730590A01Rik,66877,AAH29187.1,AK004749,AK012962,AK088882,BAB23530.1,BAB28572.1,BAC40630.1,BC029187,C80326,CCDS16828.1,CRNL1_MOUSE,Crnkl1,Crnkl1-201,Crnkl1-202,Crnkl1-203,Crooked neck,Crooked neck homolog,Crooked neck pre-mRNA splicing factor 1,Crooked neck-like protein 1,ENSMUSG00000001767,ENSMUSP00000001818,ENSMUSP00000099456,ENSMUST00000001818,ENSMUST00000001818.4,ENSMUST00000103167,ENSMUST00000145425,ENSMUST00000145425.1,ENSMUST00000147904,ENSMUST00000147904.1,MGI:1914127,NM_025820,NM_025820.3,NP_080096,NP_080096.1,P63154,Q542E8,Q9CQC1,R-MMU-72163,R-MMU-72172,R-MMU-72203,R-MMU-8953854,UPI00000041BB,crn,mmu:66877,uc008mrz.1
Cstdc5	10090.ENSMUSP00000093794	Cystatin domain-containing 5.	https://smart.embl.de/smart/DDvec.cgi?smart=97:CY(1|97)+	100034684,AAI00531.1,BC100530,CCDS37333.1,CH466521,CT033776,Cstdc5,Cstdc5-201,Cstdc5-202,Cstdc5-203,Cystatin domain containing 5,Cystatin domain-containing 5,D6REU3,EDK97918.1,ENSMUSG00000071561,ENSMUSP00000093794,ENSMUSP00000117436,ENSMUST00000096089,ENSMUST00000096089.2,ENSMUST00000138796,ENSMUST00000138796.1,ENSMUST00000146691,ENSMUST00000146691.1,I25.001,MGI:3696883,NM_001082546,NM_001082546.1,NP_001076015,NP_001076015.1,Q497J0,Q497J0_MOUSE,Stfa3,UPI00001E37DB,UPI0001611601,cDNA sequence BC100530,mmu:100034684,uc007zcm.1
Ctsd	10090.ENSMUSP00000121203	Cathepsin D; Acid protease active in intracellular protein breakdown. Plays a role in APP processing following cleavage and activation by ADAM30 which leads to APP degradation; Belongs to the peptidase A1 family.	https://smart.embl.de/smart/DDvec.cgi?smart=410:SIGNAL(1|20)+Pfam_A1_Propeptide(21|50)+Pfam_TAXi_C(327|406)+	13033,3.4.23.5,A01.009,AAH54758.1,AAH57931.1,AC034099,AK150364,AK150579,AK150694,AK150768,AK150946,AK151256,AK151275,AK151374,AK151829,AK151962,AK152036,AK152168,AK152187,AK152188,AK152406,AK152458,AK152567,AK152593,AK152680,AK152828,AK152881,AK152892,AK153191,AK159097,AK159440,AK159512,AK159970,AK166864,AK166938,AK167143,AK167867,AK169139,AK171195,BAE29499.1,BAE29674.1,BAE29773.1,BAE29834.1,BAE29980.1,BAE30245.1,BAE30262.1,BAE30346.1,BAE30724.1,BAE30833.1,BAE30895.1,BAE31001.1,BAE31018.1,BAE31019.1,BAE31193.1,BAE31236.1,BAE31319.1,BAE31342.1,BAE31412.1,BAE31529.1,BAE31566.1,BAE31575.1,BAE31791.1,BAE34813.1,BAE35086.1,BAE35144.1,BAE35523.1,BAE39078.1,BAE39131.1,BAE39288.1,BAE39883.1,BAE40918.1,BAE42305.1,BC054758,BC057931,CAA37067.1,CAA37423.1,CAA48453.1,CATD_MOUSE,CCDS22029.1,CD,CH466531,CatD,Cathepsin D,Ctsd,Ctsd-201,Ctsd-202,Ctsd-203,EC 3.4.23.5,EDL18142.1,ENSMUSG00000007891,ENSMUSP00000008035,ENSMUSP00000063904,ENSMUSP00000117247,ENSMUSP00000121203,ENSMUSP00000126265,ENSMUST00000008035,ENSMUST00000066401,ENSMUST00000066401.6,ENSMUST00000133843,ENSMUST00000151120,ENSMUST00000151120.8,ENSMUST00000153679,ENSMUST00000153679.1,ENSMUST00000166988,F8WIR1,MGI:88562,NM_009983,NM_009983.2,NP_034113,NP_034113.1,P18242,Q3UCD9,R-MMU-1280218,R-MMU-1442490,R-MMU-1474228,R-MMU-1474244,R-MMU-168249,R-MMU-168256,R-MMU-2022377,R-MMU-2132295,R-MMU-2980736,R-MMU-392499,R-MMU-6798695,UPI0000021060,UPI0000F503C9,X52886,X53337,X68378,X68379,X68380,X68381,X68382,X68383,mmu:13033,uc009kmv.1
Ctsl	10090.ENSMUSP00000152169	Cathepsin L1 heavy chain; Thiol protease important for the overall degradation of proteins in lysosomes (Probable). Involved in the solubilization of cross-linked TG/thyroglobulin and in the subsequent release of thyroid hormone thyroxine (T4) by limited proteolysis of TG/thyroglobulin in the thyroid follicle lumen. Belongs to the peptidase C1 family.	https://smart.embl.de/smart/DDvec.cgi?smart=334:SIGNAL(1|17)+Inhibitor_I29(29|88)+Pept_C1(114|332)+	1190035F06Rik,13039,1MVV,3.4.22.15,A0A1Y7VJC1,A0A1Y7VNM3,A0A1Y7VNQ4,A0A1Y7VP49,AAA37445.1,AAA39984.1,AAD32136.1,AAD32137.1,AAD32138.1,AAH68163.1,AF121837,AF121838,AF121839,AK002221,AK049466,AK145051,AK150452,AK151169,AK153076,AK159511,AK169394,AK169712,BAB21945.1,BAC33761.1,BAE26206.1,BAE29572.1,BAE30172.1,BAE31701.1,BAE35143.1,BAE41141.1,BAE41323.1,BC068163,C01.032,CAA27980.1,CAA29470.1,CATL1_MOUSE,CCDS26600.1,CH466631,CHEMBL5291,CT030159,Cat L,CatL,Cathepsin L,Cathepsin L1,Cathepsin L1 heavy chain,Cathepsin L1 light chain,Ctsl,Ctsl-201,Ctsl-202,Ctsl-203,Ctsl-204,Ctsl-205,Ctsl-206,Ctsl-207,Ctsl1,EC 3.4.22.15,EDL16242.1,ENSMUSG00000021477,ENSMUSP00000021933,ENSMUSP00000128112,ENSMUSP00000152169,ENSMUSP00000152357,ENSMUSP00000152497,ENSMUSP00000152551,ENSMUSP00000152819,ENSMUST00000021933,ENSMUST00000021933.7,ENSMUST00000164350,ENSMUST00000220617,ENSMUST00000220617.1,ENSMUST00000220737,ENSMUST00000220737.1,ENSMUST00000222462,ENSMUST00000222462.1,ENSMUST00000222517,ENSMUST00000222517.1,ENSMUST00000222971,ENSMUST00000222971.1,ENSMUST00000223494,ENSMUST00000223494.1,J02583,M20495,MEP,MGI:88564,Major excreted protein,NM_009984,NM_009984.4,NP_034114,NP_034114.1,P06797,Q543M3,Q91UZ0,R-MMU-1280218,R-MMU-1442490,R-MMU-1474228,R-MMU-1474244,R-MMU-1474290,R-MMU-1679131,R-MMU-168249,R-MMU-168256,R-MMU-168898,R-MMU-2022090,R-MMU-212436,R-MMU-2132295,R-MMU-73857,R-MMU-74160,R-MMU-8878171,R-MMU-8939242,UPI0000003E31,UPI000B3D7BFC,UPI000B3D7C31,UPI000B3D7C5C,UPI000B3D7D59,X04392,X06086,XM_006517080,XM_006517080.1,XP_006517143,XP_006517143.1,fs,major excreted protein,mmu:13039,nkt,p39 cysteine proteinase,uc007qyw.1
Dync2h1	10090.ENSMUSP00000120007	Cytoplasmic dynein 2 heavy chain 1; May function as a motor for intraflagellar retrograde transport. Functions in cilia biogenesis. According to it may play a role in transport between endoplasmic reticulum and Golgi or organization of the Golgi in cells.	https://smart.embl.de/smart/DDvec.cgi?smart=4306:Pfam_DHC_N1(182|674)+Pfam_DHC_N2(1118|1518)+AAA(1684|1830)+AAA(1971|2127)+AAA(2283|2431)+Pfam_AAA_8(2618|2880)+Pfam_MT(2894|3230)+Pfam_AAA_9(3250|3470)+Pfam_Dynein_heavy(3612|4303)+	110350,4432416O06Rik,A0A1L1SRI6,A0A1L1SS48,AAS15576.1,AAS15577.1,AAS15578.1,AAS15579.1,AAZ41367.1,AC155908,AC174457,AI448217,AK014500,AK032860,AK045978,AK046538,AK083433,AK084796,AK173324,AY452064,AY452065,AY452066,AY452067,B8JJF9,B8JJG0,BAB29399.2,BAC28057.1,BAC32559.1,BAC32776.1,BAC38914.1,BAC39280.1,BAD32602.1,CAB06063.1,CCDS40528.1,CT010499,Cytoplasmic dynein 2 heavy chain,Cytoplasmic dynein 2 heavy chain 1,D030010H02Rik,D330044F14Rik,D3Z025,DHC11,DHC1b,DHC2,DQ104402,DYHC2_MOUSE,Dhc1b,Dnchc2,Dync2h1,Dync2h1-201,Dync2h1-202,Dync2h1-203,Dync2h1-204,Dync2h1-205,Dync2h1-206,Dync2h1-207,Dync2h1-208,Dync2h1-209,Dynein cytoplasmic 2 heavy chain 1,Dynein cytoplasmic heavy chain 2,Dynein heavy chain 11,Dynein heavy chain 2, cytosolic,Dynein heavy chain isotype 1B,ENSMUSG00000047193,ENSMUSP00000034500,ENSMUSP00000046733,ENSMUSP00000083791,ENSMUSP00000083796,ENSMUSP00000083797,ENSMUSP00000116242,ENSMUSP00000116679,ENSMUSP00000120007,ENSMUSP00000120322,ENSMUSP00000128899,ENSMUSP00000149482,ENSMUSP00000149764,ENSMUST00000034500,ENSMUST00000048417,ENSMUST00000048417.12,ENSMUST00000086598,ENSMUST00000086604,ENSMUST00000086605,ENSMUST00000139115,ENSMUST00000139115.1,ENSMUST00000139671,ENSMUST00000139671.1,ENSMUST00000140466,ENSMUST00000140466.7,ENSMUST00000147056,ENSMUST00000147056.1,ENSMUST00000147193,ENSMUST00000147193.7,ENSMUST00000152934,ENSMUST00000152934.1,ENSMUST00000168583,ENSMUST00000214191,ENSMUST00000214191.1,ENSMUST00000216097,ENSMUST00000216097.1,F6QLS2,Kiaa1997,MGI:107736,NM_001364519,NM_001364519.1,NM_029851,NM_029851.2,NP_084127,NP_084127.2,O08822,Q45VK7,Q5VI59,Q5VI60,Q5VI61,Q5VI62,Q69Z42,Q8BJL5,Q8BL87,Q8BMC7,Q8BUI9,Q8BXK5,Q9CRR8,R-MMU-162582,R-MMU-1852241,R-MMU-5358351,R-MMU-5610787,R-MMU-5617833,R-MMU-5620924,UPI0000589EF4,UPI0000F50A35,UPI0001642932,UPI0001889E20,UPI0008FC1BD5,UPI0008FC1C1C,XM_006509826,XM_006509826.3,XM_006509827,XM_006509827.3,XM_017313100,XM_017313100.1,XM_017313101,XM_017313101.1,XM_030244008,XM_030244008.1,XM_030244009,XM_030244009.1,XP_006509889,XP_006509889.1,XP_006509890,XP_006509890.1,XP_017168590,XP_017168590.1,XP_030099868,XP_030099868.1,XP_030099869,XP_030099869.1,XP_030099870,XP_030099870.1,Z83809,b2b414Clo,m152Asp,m407Asp,mDHC11,mmu:110350,uc009occ.1
Elmod1	10090.ENSMUSP00000046191	ELMO domain-containing protein 1; Acts as a GTPase-activating protein (GAP) toward guanine nucleotide exchange factors like ARL2, ARL3, ARF1 and ARF6, but not for GTPases outside the Arf family.	https://smart.embl.de/smart/DDvec.cgi?smart=326:Pfam_ELMO_CED12(117|295)+	270162,4831417L10,AC157476,AI428506,AI834991,AK132239,BAE21051.1,CCDS57678.1,E9Q0K9,ELMD1_MOUSE,ELMO domain-containing protein,ELMO domain-containing protein 1,ELMO/CED-12 domain containing 1,ENSMUSG00000041986,ENSMUSP00000046191,ENSMUSP00000091366,ENSMUSP00000129082,ENSMUST00000048409,ENSMUST00000048409.13,ENSMUST00000093845,ENSMUST00000166580,ENSMUST00000166580.1,ENSMUST00000213111,ENSMUST00000213111.1,ENSMUST00000215313,ENSMUST00000215313.1,ENSMUST00000216880,ENSMUST00000216880.1,Elmod1,Elmod1-201,Elmod1-202,Elmod1-203,Elmod1-204,Elmod1-205,MGI:3583900,NM_177769,NM_177769.4,NP_808437,NP_808437.2,Q3V1U8,UPI00001C44BD,UPI0001F78EB7,URS00009C397A,XM_006511205,XM_006511205.3,XM_006511206,XM_006511206.3,XM_006511207,XM_006511207.3,XP_006511268,XP_006511268.1,XP_006511269,XP_006511269.1,XP_006511270,XP_006511270.1,mmu:270162,uc009pmq.1
Epb41l3	10090.ENSMUSP00000079098	Band 4.1-like protein 3, N-terminally processed; Tumor suppressor that inhibits cell proliferation and promotes apoptosis. Modulates the activity of protein arginine N- methyltransferases, including PRMT3 and PRMT5 (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=929:B41(114|309)+FERM_C(313|403)+FA(405|451)+Pfam_SAB(556|604)+Pfam_4_1_CTD(815|921)+	13823,4.1B,A0A286YCT6,A0A286YCY1,A0A286YCY8,A0A286YD84,A0A286YD94,A0A286YDD0,A0A286YDY4,A0A3B2WBE1,A0A3B2WD96,A7YY80,AAD38048.1,AAD51365.1,AAI52549.1,AB523362,AC151281,AC154761,AF152247,AF177146,AK173080,BAD32358.1,BAI50089.1,BC152548,Band 4.1-like protein 3,Band 4.1-like protein 3, N-terminally processed,CCDS28952.1,CDJ79500.1,CH466537,D0VYV6,DAL-1,DAL1P,Dal1,E41L3_MOUSE,EDL38344.1,ENSMUSG00000024044,ENSMUSP00000024843,ENSMUSP00000060797,ENSMUSP00000064950,ENSMUSP00000073162,ENSMUSP00000076734,ENSMUSP00000079098,ENSMUSP00000083861,ENSMUSP00000108298,ENSMUSP00000108299,ENSMUSP00000108300,ENSMUSP00000133084,ENSMUSP00000153133,ENSMUSP00000153138,ENSMUSP00000153146,ENSMUSP00000153190,ENSMUSP00000153195,ENSMUSP00000153198,ENSMUSP00000153228,ENSMUSP00000153611,ENSMUSP00000156566,ENSMUSP00000156827,ENSMUSP00000156921,ENSMUSP00000158911,ENSMUSP00000158929,ENSMUST00000024843,ENSMUST00000054276,ENSMUST00000070324,ENSMUST00000073457,ENSMUST00000077529,ENSMUST00000080208,ENSMUST00000080208.6,ENSMUST00000086657,ENSMUST00000112678,ENSMUST00000112679,ENSMUST00000112680,ENSMUST00000112680.7,ENSMUST00000167137,ENSMUST00000223565,ENSMUST00000223565.1,ENSMUST00000223610,ENSMUST00000223610.1,ENSMUST00000223703,ENSMUST00000223703.1,ENSMUST00000223816,ENSMUST00000223816.1,ENSMUST00000224523,ENSMUST00000224523.1,ENSMUST00000224951,ENSMUST00000224951.1,ENSMUST00000225062,ENSMUST00000225062.1,ENSMUST00000225209,ENSMUST00000225209.1,ENSMUST00000225316,ENSMUST00000225316.1,ENSMUST00000225604,ENSMUST00000225604.1,ENSMUST00000225695,ENSMUST00000225695.1,ENSMUST00000225740,ENSMUST00000225740.1,ENSMUST00000225977,ENSMUST00000225977.1,ENSMUST00000232706,ENSMUST00000232706.1,ENSMUST00000233509,ENSMUST00000233509.1,ENSMUST00000233964,ENSMUST00000233964.1,ENSMUST00000238898,ENSMUST00000239167,Epb4.1l3,Epb41l3,Epb41l3-201,Epb41l3-202,Epb41l3-203,Epb41l3-204,Epb41l3-205,Epb41l3-206,Epb41l3-207,Epb41l3-208,Epb41l3-209,Epb41l3-210,Epb41l3-211,Epb41l3-212,Epb41l3-213,Epb41l3-214,Epb41l3-215,Epb41l3-216,Epb41l3-217,Epb41l3-218,Epb41l3-219,Epb41l3-220,Erythrocyte membrane protein band 4.1 like 3,HG738870,Kiaa0987,MGI:103008,NBL3,NM_013813,NM_013813.1,NP_038841,NP_038841.1,Q69ZT8,Q9R102,Q9WV92,R-MMU-112316,R-MMU-6794361,R-MMU-6794362,UPI0000022212,UPI000002A890,UPI0000474E4F,UPI0000F4C2F6,UPI000154A4DD,UPI0001BE8ABB,UPI0001F78C5E,UPI000BAD5A19,UPI000BAD5A31,UPI000BAD5A5C,UPI000BAD5A6B,UPI000BAD5BA3,UPI000BAD5BB5,XM_006523603,XM_006523603.3,XM_006523604,XM_006523604.3,XM_006523606,XM_006523606.3,XM_006523608,XM_006523608.3,XM_006523610,XM_006523610.3,XM_006523611,XM_006523611.3,XM_006523612,XM_006523612.3,XM_006523613,XM_006523613.2,XM_006523614,XM_006523614.3,XM_006523615,XM_006523615.2,XM_006523616,XM_006523616.3,XM_006523618,XM_006523618.3,XM_011246274,XM_011246274.1,XM_011246275,XM_011246275.1,XM_011246276,XM_011246276.1,XM_011246277,XM_011246277.1,XM_011246278,XM_011246278.1,XM_011246279,XM_011246279.1,XM_011246281,XM_011246281.1,XM_011246282,XM_011246282.2,XM_011246283,XM_011246283.1,XM_011246284,XM_011246284.1,XM_011246285,XM_011246285.1,XM_011246286,XM_011246286.2,XM_011246288,XM_011246288.1,XM_011246289,XM_011246289.1,XM_011246290,XM_011246290.1,XM_017317226,XM_017317226.1,XM_017317227,XM_017317227.1,XM_017317228,XM_017317228.1,XM_017317229,XM_017317229.1,XM_017317230,XM_017317230.1,XM_017317231,XM_017317231.1,XM_017317232,XM_017317232.1,XM_017317233,XM_017317233.1,XM_017317234,XM_017317234.1,XM_017317235,XM_017317235.1,XM_017317236,XM_017317236.1,XM_017317237,XM_017317237.1,XM_017317238,XM_017317238.1,XM_017317239,XM_017317239.1,XM_017317240,XM_017317240.1,XP_006523674,XP_006523674.1,XP_006523675,XP_006523675.1,XP_006523676,XP_006523676.1,XP_006523677,XP_006523677.1,XP_006523678,XP_006523678.1,XP_006523679,XP_006523679.1,XP_006523681,XP_006523681.1,XP_011244580,XP_011244580.1,XP_011244581,XP_011244581.1,XP_011244583,XP_011244583.1,XP_011244585,XP_011244585.1,XP_011244586,XP_011244586.1,XP_011244587,XP_011244587.1,XP_011244588,XP_011244588.1,XP_011244590,XP_011244590.1,XP_011244591.1,XP_011244592,XP_011244592.1,XP_017172716,XP_017172716.1,XP_017172720,XP_017172720.1,XP_017172721,XP_017172721.1,XP_017172723,XP_017172723.1,XP_017172724.1,XP_017172725.1,XP_017172727,XP_017172727.1,XP_017172728,XP_017172728.1,XP_030105345,XP_030105345.1,XR_001782032,XR_001782032.1,XR_001782034,XR_001782034.1,XR_001782037,XR_001782037.1,mDAL-1,mmu:13823,uc008dkp.1,uc008dkq.1,uc008dkr.1
