#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C3	Ttr	10090.ENSMUSP00000024988	10090.ENSMUSP00000074783	0	0	0	0	0.097	0	0	0.527	0.555
C3	Serpina1a	10090.ENSMUSP00000024988	10090.ENSMUSP00000072652	0	0	0	0	0.203	0	0	0.575	0.647
C3	Trf	10090.ENSMUSP00000024988	10090.ENSMUSP00000035158	0	0	0	0	0.300	0.051	0	0.514	0.649
Cryaa	Cryba4	10090.ENSMUSP00000019192	10090.ENSMUSP00000108004	0	0	0	0	0.169	0.070	0	0.821	0.850
Cryaa	Crybb3	10090.ENSMUSP00000019192	10090.ENSMUSP00000112618	0	0	0	0	0.231	0	0	0.815	0.852
Cryaa	Crygb	10090.ENSMUSP00000019192	10090.ENSMUSP00000027090	0	0	0	0	0.568	0.099	0	0.744	0.891
Cryaa	Crygc	10090.ENSMUSP00000019192	10090.ENSMUSP00000109698	0	0	0	0	0.556	0	0	0.785	0.900
Cryaa	Crybb1	10090.ENSMUSP00000019192	10090.ENSMUSP00000031286	0	0	0	0	0.333	0	0	0.863	0.904
Cryaa	Crybb2	10090.ENSMUSP00000019192	10090.ENSMUSP00000107955	0	0	0	0	0.627	0.131	0	0.902	0.965
Cryaa	Cryba1	10090.ENSMUSP00000019192	10090.ENSMUSP00000077693	0	0	0	0	0.782	0.181	0	0.843	0.969
Cryaa	Cryab	10090.ENSMUSP00000019192	10090.ENSMUSP00000149803	0	0	0	0.934	0.042	0.723	0.900	0.791	0.993
Cryab	Cryaa	10090.ENSMUSP00000149803	10090.ENSMUSP00000019192	0	0	0	0.934	0.042	0.723	0.900	0.791	0.993
Cryab	Crygb	10090.ENSMUSP00000149803	10090.ENSMUSP00000027090	0	0	0	0	0.054	0.207	0	0.608	0.680
Cryab	Crybb1	10090.ENSMUSP00000149803	10090.ENSMUSP00000031286	0	0	0	0	0.052	0	0	0.756	0.759
Cryab	Cryba1	10090.ENSMUSP00000149803	10090.ENSMUSP00000077693	0	0	0	0	0.125	0.262	0	0.743	0.820
Cryab	Crybb2	10090.ENSMUSP00000149803	10090.ENSMUSP00000107955	0	0	0	0	0.090	0.264	0	0.793	0.849
Cryab	Cryba4	10090.ENSMUSP00000149803	10090.ENSMUSP00000108004	0	0	0	0	0.054	0.052	0	0.732	0.739
Cryab	Crygc	10090.ENSMUSP00000149803	10090.ENSMUSP00000109698	0	0	0	0	0.050	0	0	0.652	0.655
Cryab	Crybb3	10090.ENSMUSP00000149803	10090.ENSMUSP00000112618	0	0	0	0	0.069	0	0	0.731	0.738
Cryba1	Cryaa	10090.ENSMUSP00000077693	10090.ENSMUSP00000019192	0	0	0	0	0.782	0.181	0	0.843	0.969
Cryba1	Crygb	10090.ENSMUSP00000077693	10090.ENSMUSP00000027090	0	0	0.089	0.835	0.612	0	0	0.257	0.714
Cryba1	Crybb1	10090.ENSMUSP00000077693	10090.ENSMUSP00000031286	0	0	0.062	0.910	0.369	0.495	0	0.237	0.741
Cryba1	Crybb3	10090.ENSMUSP00000077693	10090.ENSMUSP00000112618	0	0	0.058	0.897	0.201	0.263	0	0.307	0.565
Cryba1	Crygc	10090.ENSMUSP00000077693	10090.ENSMUSP00000109698	0	0	0.102	0.807	0.619	0	0	0.187	0.697
Cryba1	Crybb2	10090.ENSMUSP00000077693	10090.ENSMUSP00000107955	0	0	0.060	0.895	0.668	0.121	0	0.126	0.728
Cryba1	Cryab	10090.ENSMUSP00000077693	10090.ENSMUSP00000149803	0	0	0	0	0.125	0.262	0	0.743	0.820
Cryba4	Cryaa	10090.ENSMUSP00000108004	10090.ENSMUSP00000019192	0	0	0	0	0.169	0.070	0	0.821	0.850
Cryba4	Crybb1	10090.ENSMUSP00000108004	10090.ENSMUSP00000031286	0	0	0.073	0.900	0.579	0.278	0	0.128	0.721
Cryba4	Cryab	10090.ENSMUSP00000108004	10090.ENSMUSP00000149803	0	0	0	0	0.054	0.052	0	0.732	0.739
Crybb1	Cryaa	10090.ENSMUSP00000031286	10090.ENSMUSP00000019192	0	0	0	0	0.333	0	0	0.863	0.904
Crybb1	Crygb	10090.ENSMUSP00000031286	10090.ENSMUSP00000027090	0	0	0.082	0.832	0.294	0	0	0.185	0.426
Crybb1	Crygc	10090.ENSMUSP00000031286	10090.ENSMUSP00000109698	0	0	0.094	0.832	0.289	0	0	0.168	0.417
Crybb1	Crybb2	10090.ENSMUSP00000031286	10090.ENSMUSP00000107955	0	0	0.062	0.951	0.462	0.062	0	0.082	0.507
Crybb1	Cryba4	10090.ENSMUSP00000031286	10090.ENSMUSP00000108004	0	0	0.073	0.900	0.579	0.278	0	0.128	0.721
Crybb1	Cryba1	10090.ENSMUSP00000031286	10090.ENSMUSP00000077693	0	0	0.062	0.910	0.369	0.495	0	0.237	0.741
Crybb1	Cryab	10090.ENSMUSP00000031286	10090.ENSMUSP00000149803	0	0	0	0	0.052	0	0	0.756	0.759
Crybb2	Cryaa	10090.ENSMUSP00000107955	10090.ENSMUSP00000019192	0	0	0	0	0.627	0.131	0	0.902	0.965
Crybb2	Crygb	10090.ENSMUSP00000107955	10090.ENSMUSP00000027090	0	0	0.073	0.868	0.580	0.103	0	0.164	0.670
Crybb2	Crybb1	10090.ENSMUSP00000107955	10090.ENSMUSP00000031286	0	0	0.062	0.951	0.462	0.062	0	0.082	0.507
Crybb2	Cryba1	10090.ENSMUSP00000107955	10090.ENSMUSP00000077693	0	0	0.060	0.895	0.668	0.121	0	0.126	0.728
Crybb2	Crybb3	10090.ENSMUSP00000107955	10090.ENSMUSP00000112618	0	0	0.060	0.954	0.270	0.092	0	0.394	0.572
Crybb2	Crygc	10090.ENSMUSP00000107955	10090.ENSMUSP00000109698	0	0	0.083	0.860	0.582	0	0	0.151	0.647
Crybb2	Cryab	10090.ENSMUSP00000107955	10090.ENSMUSP00000149803	0	0	0	0	0.090	0.264	0	0.793	0.849
Crybb3	Cryaa	10090.ENSMUSP00000112618	10090.ENSMUSP00000019192	0	0	0	0	0.231	0	0	0.815	0.852
Crybb3	Cryba1	10090.ENSMUSP00000112618	10090.ENSMUSP00000077693	0	0	0.058	0.897	0.201	0.263	0	0.307	0.565
