#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:30508719	(2018) Spatial Analysis of Single Fiber Cells of the Developing Ocular Lens Reveals Regulated Heterogeneity of Gene Expression.	9	10	1.09	0.64	0.0117	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000074448,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Lamp2,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:25124159	(2014) A novel COL4A1 gene mutation results in autosomal dominant non-syndromic congenital cataract in a Chinese family.	9	11	1.05	0.62	0.0117	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:19204787	(2009) A novel nonsense mutation in CRYGC is associated with autosomal dominant congenital nuclear cataracts and microcornea.	9	9	1.14	0.65	0.0117	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:19262743	(2009) Novel mutation in the gamma-S crystallin gene causing autosomal dominant cataract.	9	10	1.09	0.64	0.0117	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:30093686	(2018) Resistance to retinopathy development in obese, diabetic and hypertensive ZSF1 rats: an exciting model to identify protective genes.	8	9	1.09	0.63	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:28877251	(2017) Identification of a novel GJA3 mutation in a large Chinese family with congenital cataract using targeted exome sequencing.	8	9	1.09	0.63	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:26330747	(2015) Chromatin features, RNA polymerase II and the comparative expression of lens genes encoding crystallins, transcription factors, and autophagy mediators.	9	14	0.95	0.57	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:24535056	(2014) Identification of a novel GJA8 (Cx50) point mutation causes human dominant congenital cataracts.	8	8	1.14	0.64	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:25033405	(2014) A novel MIP gene mutation analysis in a Chinese family affected with congenital progressive punctate cataract.	8	9	1.09	0.63	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:21423869	(2011) Mutation screening and genotype phenotype correlation of alpha-crystallin, gamma-crystallin and GJA8 gene in congenital cataract.	8	8	1.14	0.64	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:21921990	(2011) Another evidence for a D47N mutation in GJA8 associated with autosomal dominant congenital cataract.	8	8	1.14	0.64	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
